,RM04/0001,RM04/0006,Year,Month,Time,Group Description,Average_price,PNGASEUUSDM_1,Electricity_1,PNGASEUUSDM_2,Electricity_2,PNGASEUUSDM_3,Electricity_3,PNGASEUUSDM_4,Electricity_4,PNGASEUUSDM_5,Electricity_5,PNGASEUUSDM_6,Electricity_6,PNGASEUUSDM_7,Electricity_7,PNGASEUUSDM_8,Electricity_8,PNGASEUUSDM_9,Electricity_9,PNGASEUUSDM_10,Electricity_10,PNGASEUUSDM_11,Electricity_11,PNGASEUUSDM_12,Electricity_12,AR_1,AR_2,AR_3,AR_4,AR_5,AR_6,AR_7,AR_8,AR_9,AR_10,AR_11,AR_12
45,False,True,2018,10,2018-10-31,bleaching agent,0.14241422402678525,9.51888018341773,69.08,8.10411407925839,54.18,7.62106268282328,49.36,7.50442301005288,44.5,7.46086307392455,36.2,7.06473256709682,39.89,8.53636130051361,42.08,7.84103556202786,55.31,6.6483033104452,58.38,7.20979162558986,56.42,6.73403752405179,57.07,5.8925193535705,43.73,0.1416666666666666,0.14474743664952333,0.14259982119454873,0.12875014931447568,0.13084835522462548,0.13193770016848708,0.14503616481447568,0.12494537582154727,0.12974924922462547,0.11898396874494706,0.14196795852412614,0.12440037203600904
46,False,True,2018,11,2018-11-30,bleaching agent,0.1396273104525639,8.59591459921168,79.88,9.51888018341773,69.08,8.10411407925839,54.18,7.62106268282328,49.36,7.50442301005288,44.5,7.46086307392455,36.2,7.06473256709682,39.89,8.53636130051361,42.08,7.84103556202786,55.31,6.6483033104452,58.38,7.20979162558986,56.42,6.73403752405179,57.07,0.14241422402678525,0.1416666666666666,0.14474743664952333,0.14259982119454873,0.12875014931447568,0.13084835522462548,0.13193770016848708,0.14503616481447568,0.12494537582154727,0.12974924922462547,0.11898396874494706,0.14196795852412614
47,False,True,2018,12,2018-12-31,bleaching agent,0.13651921948541632,8.20449016673927,154.27,8.59591459921168,79.88,9.51888018341773,69.08,8.10411407925839,54.18,7.62106268282328,49.36,7.50442301005288,44.5,7.46086307392455,36.2,7.06473256709682,39.89,8.53636130051361,42.08,7.84103556202786,55.31,6.6483033104452,58.38,7.20979162558986,56.42,0.1396273104525639,0.14241422402678525,0.1416666666666666,0.14474743664952333,0.14259982119454873,0.12875014931447568,0.13084835522462548,0.13193770016848708,0.14503616481447568,0.12494537582154727,0.12974924922462547,0.11898396874494706
48,False,True,2019,1,2019-01-29,bleaching agent,0.14997293553484825,7.89294582141602,89.86,8.20449016673927,154.27,8.59591459921168,79.88,9.51888018341773,69.08,8.10411407925839,54.18,7.62106268282328,49.36,7.50442301005288,44.5,7.46086307392455,36.2,7.06473256709682,39.89,8.53636130051361,42.08,7.84103556202786,55.31,6.6483033104452,58.38,0.13651921948541632,0.1396273104525639,0.14241422402678525,0.1416666666666666,0.14474743664952333,0.14259982119454873,0.12875014931447568,0.13084835522462548,0.13193770016848708,0.14503616481447568,0.12494537582154727,0.12974924922462547
49,False,True,2019,2,2019-02-27,bleaching agent,0.13461140681388847,7.16106495279494,92.01,7.89294582141602,89.86,8.20449016673927,154.27,8.59591459921168,79.88,9.51888018341773,69.08,8.10411407925839,54.18,7.62106268282328,49.36,7.50442301005288,44.5,7.46086307392455,36.2,7.06473256709682,39.89,8.53636130051361,42.08,7.84103556202786,55.31,0.14997293553484825,0.13651921948541632,0.1396273104525639,0.14241422402678525,0.1416666666666666,0.14474743664952333,0.14259982119454873,0.12875014931447568,0.13084835522462548,0.13193770016848708,0.14503616481447568,0.12494537582154727
50,False,True,2019,3,2019-03-31,bleaching agent,0.1542607223756408,5.98633856004478,77.19,7.16106495279494,92.01,7.89294582141602,89.86,8.20449016673927,154.27,8.59591459921168,79.88,9.51888018341773,69.08,8.10411407925839,54.18,7.62106268282328,49.36,7.50442301005288,44.5,7.46086307392455,36.2,7.06473256709682,39.89,8.53636130051361,42.08,0.13461140681388847,0.14997293553484825,0.13651921948541632,0.1396273104525639,0.14241422402678525,0.1416666666666666,0.14474743664952333,0.14259982119454873,0.12875014931447568,0.13084835522462548,0.13193770016848708,0.14503616481447568
51,False,True,2019,4,2019-04-30,bleaching agent,0.15747275783874728,5.19718007325235,53.45,5.98633856004478,77.19,7.16106495279494,92.01,7.89294582141602,89.86,8.20449016673927,154.27,8.59591459921168,79.88,9.51888018341773,69.08,8.10411407925839,54.18,7.62106268282328,49.36,7.50442301005288,44.5,7.46086307392455,36.2,7.06473256709682,39.89,0.1542607223756408,0.13461140681388847,0.14997293553484825,0.13651921948541632,0.1396273104525639,0.14241422402678525,0.1416666666666666,0.14474743664952333,0.14259982119454873,0.12875014931447568,0.13084835522462548,0.13193770016848708
52,False,True,2019,5,2019-05-31,bleaching agent,0.1549321320588887,4.95324985018727,44.12,5.19718007325235,53.45,5.98633856004478,77.19,7.16106495279494,92.01,7.89294582141602,89.86,8.20449016673927,154.27,8.59591459921168,79.88,9.51888018341773,69.08,8.10411407925839,54.18,7.62106268282328,49.36,7.50442301005288,44.5,7.46086307392455,36.2,0.15747275783874728,0.1542607223756408,0.13461140681388847,0.14997293553484825,0.13651921948541632,0.1396273104525639,0.14241422402678525,0.1416666666666666,0.14474743664952333,0.14259982119454873,0.12875014931447568,0.13084835522462548
53,False,True,2019,6,2019-06-30,bleaching agent,0.1430892709893937,4.36018288772047,40.75,4.95324985018727,44.12,5.19718007325235,53.45,5.98633856004478,77.19,7.16106495279494,92.01,7.89294582141602,89.86,8.20449016673927,154.27,8.59591459921168,79.88,9.51888018341773,69.08,8.10411407925839,54.18,7.62106268282328,49.36,7.50442301005288,44.5,0.1549321320588887,0.15747275783874728,0.1542607223756408,0.13461140681388847,0.14997293553484825,0.13651921948541632,0.1396273104525639,0.14241422402678525,0.1416666666666666,0.14474743664952333,0.14259982119454873,0.12875014931447568
54,False,True,2019,7,2019-07-31,bleaching agent,0.14706876298333296,3.4830359995733,42.17,4.36018288772047,40.75,4.95324985018727,44.12,5.19718007325235,53.45,5.98633856004478,77.19,7.16106495279494,92.01,7.89294582141602,89.86,8.20449016673927,154.27,8.59591459921168,79.88,9.51888018341773,69.08,8.10411407925839,54.18,7.62106268282328,49.36,0.1430892709893937,0.1549321320588887,0.15747275783874728,0.1542607223756408,0.13461140681388847,0.14997293553484825,0.13651921948541632,0.1396273104525639,0.14241422402678525,0.1416666666666666,0.14474743664952333,0.14259982119454873
